animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Type,Number_Of_Animal_Species_In_Class,diet,conservation_status,habitat_type,habitat_risk_score,trophic_level
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,3,1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,Fish,13,unknown,unknown,unknown,3,1
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,3,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian,4,unknown,unknown,unknown,3,1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile,5,unknown,unknown,unknown,1,1
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,5,unknown,unknown,unknown,1,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,13,unknown,unknown,unknown,3,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,41,unknown,unknown,unknown,1,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,Bird,20,unknown,unknown,unknown,1,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,Bug,8,unknown,unknown,unknown,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,41,unknown,unknown,unknown,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,10,unknown,unknown,unknown,1,1
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,20,unknown,unknown,unknown,1,1
